UID,DEGREE CENTRALITY
791333064,14.0
1596171400,12.0
1540561041,2.0
1493432158,54.0
1628360351,28.0
1784412457,62.0
603716019,60.0
1613226624,58.0
800226939,12.0
100002815756523,68.0
100002967732289,22.0
100001079463242,60.0
100002451954229,60.0
1405480620,12.0
1557010565,2.0
718708497,6.0
100003639653463,6.0
100000693867804,6.0
1554340672,2.0
100001032716895,8.0
1477755458,8.0
1504298546,6.0
1668550495,8.0
100000988246699,8.0
741463054,6.0
1465267665,22.0
698112573,6.0
1517133420,6.0
1520038290,8.0
100004559771088,6.0
1311855495,38.0
1457172777,8.0
575979885,8.0
1256518516,26.0
1701079324,8.0
1487077810,10.0
1249174445,44.0
100000192180901,12.0
1474636824,16.0
692951915,28.0
1601822613,10.0
1613591485,8.0
100000716496024,10.0
695477887,24.0
5817531,10.0
100000213743892,10.0
1048418350,8.0
100002956984769,12.0
100004302276046,10.0
100007603953907,12.0
1458385607,6.0
1008799945,12.0
100001428024486,14.0
1396771412,22.0
597324915,4.0
100000571423613,4.0
544919127,14.0
551935451,2.0
1747910245,14.0
1542361940,4.0
1561775570,4.0
1147422517,2.0
100001280413385,6.0
1267055942,4.0
100004482155086,12.0
100004066161920,2.0
720956002,6.0
1479025876,4.0
100000835554129,8.0
1428844694,10.0
1556083802,6.0
100000698149607,10.0
1514870936,4.0
628783466,10.0
100001368420968,40.0
511193459,12.0
100000949851672,28.0
1314048809,10.0
1668540992,14.0
1283700881,8.0
1569281950,16.0
1386517877,4.0
100001652030919,26.0
100000664030510,4.0
1190114289,54.0
1578647222,22.0
1075460773,6.0
1579172220,44.0
100000642204643,48.0
100000944327188,2.0
1437736755,8.0
1575183624,16.0
1462770121,6.0
630011129,8.0
1148213848,16.0
1432035836,2.0
1582975737,8.0
100000465069858,6.0
1288324756,10.0
1564129646,4.0
1558260213,14.0
1558083017,4.0
1626905945,10.0
100002358934814,6.0
1692139995,18.0
1651050691,20.0
1590354310,42.0
1476666278,30.0
1540724040,34.0
1536653620,56.0
1527332539,34.0
100000743270013,22.0
680659726,8.0
100000740247424,18.0
100000509863756,44.0
1248077592,8.0
1337746570,56.0
1216442611,18.0
505001217,12.0
734901842,18.0
100000452481169,6.0
780892602,14.0
1540549221,12.0
1560710573,8.0
1622738773,10.0
100000266187689,2.0
100001822266982,18.0
100003220899437,6.0
100002748805974,30.0
1724659168,2.0
1663040691,6.0
1439750394,14.0
100001677596972,14.0
1795054285,8.0
100000506081060,8.0
694285876,10.0
1232072827,6.0
100000006026395,4.0
1644555731,4.0
1610604028,4.0
706512911,8.0
100003532354877,8.0
1456540389,4.0
100002291200916,6.0
100002361611588,16.0
1430711411,6.0
1048221446,16.0
100003829702779,48.0
100003228732920,22.0
100004426682363,8.0
1559337535,6.0
100003327577989,2.0
572171136,4.0
781138749,8.0
1168655714,4.0
650606943,2.0
1593965528,6.0
100000268942092,6.0
100000968232202,2.0
1299135787,10.0
1768059667,12.0
1555206885,4.0
1453744823,10.0
100000683008839,4.0
1483467709,6.0
1368124899,18.0
1628266188,16.0
100000483689096,6.0
1584002040,10.0
1321023144,10.0
1554693303,2.0
1584069102,16.0
100000470980823,6.0
100003043750618,4.0
1169335461,4.0
100000642576173,20.0
1375975315,16.0
100000029835920,6.0
678699723,8.0
1658362786,2.0
100001986141635,6.0
591419319,8.0
1024121348,6.0
1546522808,4.0
1613140675,14.0
100001623657750,2.0
100004427701083,6.0
100000829985107,12.0
626229190,6.0
1072707489,8.0
1438698037,14.0
1518778121,6.0
1460318747,2.0
1386767517,12.0
640367065,36.0
1636804832,8.0
1204836539,8.0
1557106720,12.0
1379492769,4.0
100003113135151,4.0
100007032030521,10.0
1330866241,6.0
100001459904408,4.0
100008492431649,2.0
100000883181295,2.0
1633788209,4.0
100001952146734,8.0
1346911280,8.0
1552176403,24.0
100004283822939,14.0
1101030535,4.0
100001263757955,16.0
100000263684799,2.0
862830703,10.0
1075098284,4.0
1139756507,4.0
1285548134,2.0
1418284189,4.0
100001591300159,4.0
